City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,74.25,91,100,6.91,US,1667717337
1,rocha,-34.4833,-54.3333,52.52,97,3,4.43,UY,1667717426
2,rock sound,24.9,-76.2,80.53,71,2,22.03,BS,1667717429
3,hualmay,-11.0964,-77.6139,61.16,87,7,8.32,PE,1667717431
4,riyadh,24.6877,46.7219,77.14,32,9,14.81,SA,1667717401
5,isangel,-19.55,169.2667,82.51,69,7,3.44,VU,1667717438
6,bredasdorp,-34.5322,20.0403,70.34,62,3,14.94,ZA,1667717441
7,madang,-5.2246,145.7966,84.04,72,87,6.38,PG,1667717443
8,vaini,-21.2,-175.2,75.36,83,20,6.91,TO,1667717446
9,nanortalik,60.1432,-45.2371,33.93,96,100,10.47,GL,1667717448
10,chail,25.4333,81.6333,84.54,34,49,5.26,IN,1667717451
11,punta arenas,-53.15,-70.9167,48.31,81,0,9.22,CL,1667717453
12,hermanus,-34.4187,19.2345,67.8,69,4,11.45,ZA,1667716968
13,trogir,43.5125,16.2517,59.05,51,0,5.75,HR,1667717458
14,phuket,8.0,98.25,84.42,74,75,10.36,TH,1667717460
15,bluff,-46.6,168.3333,53.44,72,6,10.65,NZ,1667717463
16,xiaoweizhai,26.1903,107.5125,73.74,45,78,4.43,CN,1667717466
17,hithadhoo,-0.6,73.0833,81.57,75,100,8.75,MV,1667717468
18,souillac,-20.5167,57.5167,80.98,65,40,12.66,MU,1667717473
19,mar del plata,-38.0023,-57.5575,60.87,86,0,15.99,AR,1667717476
20,kirkwall,58.9848,-2.9587,47.97,93,73,6.91,GB,1667717480
21,ancud,-41.8697,-73.8203,52.03,82,100,6.29,CL,1667716942
22,bilibino,68.0546,166.4372,17.19,96,100,8.77,RU,1667717485
23,pevek,69.7008,170.3133,30.31,91,99,17.02,RU,1667717489
24,poronaysk,49.2167,143.1167,28.87,63,84,11.7,RU,1667717491
25,barrow,71.2906,-156.7887,-11.18,77,100,10.36,US,1667717494
26,hit,33.6416,42.8251,74.46,26,3,3.53,IQ,1667717499
27,yellowknife,62.456,-114.3525,-3.44,77,20,12.66,CA,1667717279
28,klaksvik,62.2266,-6.589,40.12,81,100,12.59,FO,1667716965
29,mareeba,-17.0,145.4333,78.44,68,59,7.65,AU,1667717508
30,mataura,-46.1927,168.8643,51.64,68,0,4.43,NZ,1667717510
31,tolaga bay,-38.3667,178.3,53.87,71,45,4.92,NZ,1667717513
32,kropotkin,45.4375,40.5756,45.5,67,6,13.53,RU,1667717515
